NFR,percentile_80_target,percentile_95_target
Perf_1,1.6,2
Perf_2,2.4,3
Perf_3,1.6,2
Perf_4,2.4,3
Perf_5,24,30
Perf_6,24,30
Perf_7,2.4,3
Perf_7a,4,5
Perf_7b,4.8,6
Perf_8,1.6,2
Perf_8a,2.4,3
Perf_8b,3.2,4
Perf_11,2.1,3.6
Perf_32,0.5d,0.6d
Perf_33,0.8d,1.0d
Perf_34,0.35d,0.45d
Perf_35,2e,2.5e
Mailboxes,60,90


transaction,NFR
EosFO_CP2B_CSSRE_060_ClickOkAddTaxCode,Perf_4
EosFO_CP2B_CSSRE_070_ClickOkOnEditParticipant,Perf_4
EosFO_CP2B_CSSRE_080_ClickOkParticipant,Perf_4
EosFO_CP2B_CSSRE_090_ClickRecurringEntitlements,Perf_1
EosFO_CP2B_CSSRE_100_ClickAdjustmentsTab,Perf_1
EosFO_CP2B_CSSRE_110_ClickAddClientSupportPayments,Perf_3
EosFO_CP2B_CSSRE_120_SelectStartDate,Perf_4
EosFO_CP2B_CSSRE_130_SelectEndDateAndUnits,Perf_4
EosFO_CP2B_CSSRE_131_SelectEndDateAndUnits,Perf_4
EosFO_CP2B_CSSRE_140_SetUnits,Perf_4
EosFO_CP2B_CSSRE_150_Add,Perf_4
EosFO_CP2B_PICLS_050_ChangeEntitlementType,Perf_1
EosFO_CP2B_PICLS_060_ClickOk,Perf_4
EosFO_CP2B_PICLS_070_ImpairmentAssessmentsTab,Perf_1
EosFO_CP2B_PICLS_080_EditImpairmentAssessments,Perf_3
EosFO_CP2B_PICLS_090_SetApprovedAndAddDates,Perf_4
EosFO_CP2B_PICLS_100_SetApprovedAndAddDates,Perf_4
EosFO_CP2B_PICLS_110_SetApprovedAndAddDates,Perf_4
EosFO_CP2B_PICLS_120_SelectOpen,Perf_3
EosFO_CP2B_PICLS_130_AddWPI,Perf_4
EosFO_CP2B_PICLS_140_Ok,Perf_4
EosFO_CP2B_PICLS_150_CalculateEntitlements,Perf_8
EosFO_CP2B_PICLS_160_LumpSum,Perf_1
EosFO_CP2B_PICLSApp_010_ClickPICSubCase,Perf_1
EosFO_CP2B_PICLSApp_020_ClickLumpSumSPO,Perf_1
EosFO_CP2B_PICLSApp_030_ApproveRecover,Perf_4
EosFO_CP2B_PILS_041_AddPICSubCase,Perf_1
EosFO_CP_AbatEm_020_AbatementTab,Perf_1
EosFO_CP_AbatEm_030_AddEmployment,Perf_3
EosFO_CP_AbatEm_040_AddOccupationDetails,Perf_3
EosFO_CP_AbatEm_050_AddEmploymentDetails,Perf_1
EosFO_CP_AbatEm_051_AddEmploymentDetails_popup,Perf_3
EosFO_CP_AbatEm_060_SaveEarningDetails,Perf_4
EosFO_CP_AbatEm_070_SaveOccupationDetails,Perf_32
EosFO_CP_ChaInc_020_OpenPaymentHistory,Perf_1
EosFO_CP_ChaInc_030_Overpayment_OpenClaim,Perf_1
EosFO_CP_ChaInc_040_EarningsAndExclusions,Perf_1
EosFO_CP_ChaInc_050_EditCollectionPoint,Perf_1
EosFO_CP_ChaInc_070_ChangeOfLTEEarnings,Perf_1
EosFO_CP_ChaInc_080_SelectSTE,Perf_1
EosFO_CP_ChaInc_090_SelectedEarningsSTE,Perf_1
EosFO_CP_ChaInc_100_ChangeOfEarningsSTE,Perf_4
EosFO_CP_ChaInc_110_PersistCollectionPointData,Perf_32
EosFO_CP_ChaInc_120_CloseClaim,Perf_1
EosFO_CP_ChaInc_130_CalculatedEntitlementsTab,Perf_1
EosFO_CP_ChaInc_140_ReviewAll,Perf_8b
EosFO_CP_ChaInc_160_Save,Perf_4
EosFO_CP_Deduc_020_Click_AdjustmentsTab,Perf_1
EosFO_CP_Deduc_030_AddDeduction,Perf_3
EosFO_CP_Deduc_040_SelectDeductionType,Perf_1
EosFO_CP_Deduc_050_SaveDeductionDetails,Perf_4
EosFO_CP_Deduc_060_SubmitDeductionDetails,Perf_4
EosFO_CP_Deduc_070_Click_CalculatedEntitlementsTab,Perf_1
EosFO_CP_Deduc_080_Click_ReviewAll,Perf_8b
EosFO_CP_Deduc_100_Select_Save,Perf_4
EosFO_CP_ExWeCo_010_Click_InjuryTab,Perf_1
EosFO_CP_ExWeCo_020_Click_IncapacityTab,Perf_1
EosFO_CP_ExWeCo_030_Click_AddApprovedInjury,Perf_2
EosFO_CP_ExWeCo_040_SaveMedicalIncapacity,Perf_4
EosFO_CP_ExWeCo_060_PeriodsTab,Perf_1
EosFO_CP_ExWeCo_070_MaintainPeriods,Perf_1
EosFO_CP_ExWeCo_080_EditPeriod,Perf_3
EosFO_CP_ExWeCo_090_ApprovePaymentPeriod,Perf_33
EosFO_CP_ExWeCo_100_SaveCertPeriod,Perf_4
EosFO_CTR_01_CreateSubcase,Perf_2
EosFO_CTR_02_AddInvoice,Perf_2
EosFO_CTR_03_AddInvoiceLineItemDetail,Perf_2
EosFO_CTR_04_OKInvoiceLineItem,Perf_2
EosFO_CTR_05_OKInvoice,Perf_2
EosFO_CTR_06_ProgressInvoice,Perf_2
EosFO_CTR_11_CloseSubcase,Perf_2
EosFO_FacilitySearch_010_OpenPartySearch,Perf_1
EosFO_FacilitySearch_020_Click_P_V_F_Tab,Perf_1
EosFO_FacilitySearch_030_ClickSearch,Perf_1
EosFO_FilterCon_030_ClickContacts,Perf_1
EosFO_FilterCon_040_FilterByMethod,Perf_1
EosFO_GeneralQE_030_ClickGeneralQE,Perf_1
EosFO_GeneralQE_040_ClickRehabAction,Perf_1
EosFO_GeneralQE_050_ClickSelectEnt,Perf_1
EosFO_GeneralQE_060_SaveEnt,Perf_1
EosFO_GeneralQE_070_CopyEnt,Perf_1
EosFO_GeneralQE_070_CopyEnt_10,Perf_1
EosFO_GeneralQE_070_CopyEnt_2,Perf_1
EosFO_GeneralQE_070_CopyEnt_3,Perf_1
EosFO_GeneralQE_070_CopyEnt_4,Perf_1
EosFO_GeneralQE_070_CopyEnt_5,Perf_1
EosFO_GeneralQE_070_CopyEnt_6,Perf_1
EosFO_GeneralQE_070_CopyEnt_7,Perf_1
EosFO_GeneralQE_070_CopyEnt_8,Perf_1
EosFO_GeneralQE_070_CopyEnt_9,Perf_1
EosFO_GeneralQE_080_SelectPurchaseMethod,Perf_1
EosFO_GeneralQE_090_CreatePO,Perf_1
EosFO_GeneralQE_100_AuthorisePO,Perf_1
EosFO_GraphAPI_Filing_010_ClickDocs,Perf_1
EosFO_GraphAPI_Outbound_010_ClickContacts,Perf_1
EosFO_LastNameChange_030_ClickName,Perf_1
EosFO_LastNameChange_040_ClickEdit,Perf_1
EosFO_LastNameChange_050_SaveName,Perf_1
EosFO_MyWork_010_ViewTasks,Perf_1
EosFO_MyWork_020_DoTask,Perf_3
EosFO_NextGen_Cnsnt_010_ClickConsentTab,Perf_1
EosFO_NextGen_Cnsnt_020_ClickCreateNew,Perf_3
EosFO_NextGen_Cnsnt_030_SelectVerbal,Perf_3
EosFO_NextGen_Cnsnt_040_SetDateAndOk,Perf_4
EosFO_NextGen_Common_000_AddRecoveryPlan,Perf_2
EosFO_NextGen_Common_000_ClickRecoveryPlan,Perf_2
EosFO_NextGen_EnTsk_010_AddEntitlementTask,Perf_3
EosFO_NextGen_EnTsk_020_SelectEntitlementType,Perf_3
EosFO_NextGen_EnTsk_030_SelectEntitlementContinue,Perf_4
EosFO_NextGen_EnTsk_040_SelectEquipmentType,Perf_3
EosFO_NextGen_EnTsk_050_EquipmentDetailsContinue,Perf_4
EosFO_NextGen_Outcome_010_ClickOutcomeTab,Perf_1
EosFO_NextGen_Tasks_010_ClickTasksTab,Perf_1
EosFO_PartyTabs_010_ClickOpenParty,Perf_1
EosFO_PartyTabs_020_ClickOpenPersonID,Perf_1
EosFO_PartyTabs_030_SearchPersonID,Perf_1
EosFO_PartyTabs_040_ClickDocumentsTab,Perf_1
EosFO_PartyTabs_050_ClickContacts,Perf_1
